"sku","_store","_attribute_set","_type","_category","_product_websites","name","image","small_image","thumbnail","_additional_image","_additional_image_label","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","use_config_qty_increments","qty_increments","use_config_enable_qty_increments","enable_qty_increments","_giftcard_amounts_website","_giftcard_amounts_amount","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_custom_option_store","_custom_option_type","_custom_option_title","_custom_option_is_required","_custom_option_price","_custom_option_sku","_custom_option_max_characters","_custom_option_sort_order","_custom_option_row_title","_custom_option_row_price","_custom_option_row_sku","_custom_option_row_sort"
"1127","","pulseras","simple","Pulseras","base","El Rodeito.  Ref.1127","/m/o/mod.el_rodeito_ref.1127.jpg","/m/o/mod.el_rodeito_ref.1127.jpg","/m/o/mod.el_rodeito_ref.1127.jpg","/a/p/aparejos_web_blanco_100_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1130","","pulseras","simple","Pulseras","base","Espigon.  Ref.1130","/m/o/mod.espig_n_ref.1130_1.jpg","/m/o/mod.espig_n_ref.1130_1.jpg","/m/o/mod.espig_n_ref.1130_1.jpg","/a/p/aparejos_web_blanco_082.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1136","","pulseras","simple","Pulseras","base","Indian Chic Seda.  Ref.1136","/2/0/2011_abril_001.jpg","/2/0/2011_abril_001.jpg","/2/0/2011_abril_001.jpg","/c/i/cierre_garfio_6.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1137","","pulseras","simple","Pulseras","base","Indian Chic Seda Cuero.  Ref.1137","/m/o/mod.indian-seda-cuero_ref.1137_1.jpg","/m/o/mod.indian-seda-cuero_ref.1137_1.jpg","/m/o/mod.indian-seda-cuero_ref.1137_1.jpg","/c/i/cierre_garfio_5.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/a/p/aparejos_web---_blanco_017_9__1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1135","","pulseras","simple","Pulseras","base","Naufragio  Ref.1135","/m/o/mod.naufragio_ref.1135_1.jpg","/m/o/mod.naufragio_ref.1135_1.jpg","/m/o/mod.naufragio_ref.1135_1.jpg","/2/0/2011_enero_188.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/2/0/2011febrero_aparejos_blanco_001.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116","","pulseras","simple","Pulseras","base","Navio  Ref.1116","/m/o/mod.navio_ref.1116_1.jpg","/m/o/mod.navio_ref.1116_1.jpg","/m/o/mod.navio_ref.1116_1.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117","","pulseras","simple","Pulseras","base","Perla Blanca.  Ref.1117","/m/o/mod.perla_blanca_ref.1117.jpg","/m/o/mod.perla_blanca_ref.1117.jpg","/m/o/mod.perla_blanca_ref.1117.jpg","/c/i/cierre_garfio_4.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/a/p/aparejos_web_blanco_085_1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1129","","pulseras","simple","Pulseras","base","  Rocas  Ref.1129","/m/o/mod.rocas_ref.1129_1.jpg","/m/o/mod.rocas_ref.1129_1.jpg","/m/o/mod.rocas_ref.1129_1.jpg","/a/p/aparejos_web_blanco_123.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1017","","pulseras","simple","Pulseras","base","Roche Ref.1017","/m/o/mod.roche_25e_ref.1017.jpg","/m/o/mod.roche_25e_ref.1017.jpg","/m/o/mod.roche_25e_ref.1017.jpg","/m/o/mod.roche_ref.1017_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/a/p/aparejos_web_blanco_117.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1139","","pulseras","simple","Pulseras","base","Tubos.  Ref.1139","/m/o/mod.tubos_ref_1139_1.jpg","/m/o/mod.tubos_ref_1139_1.jpg","/m/o/mod.tubos_ref_1139_1.jpg","/a/p/aparejos_web_blanco_092.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1102","","pulseras","simple","Pulseras","base","Niña.  Ref.1102","/n/i/ni_a_ref.1102_1_1.jpg","/n/i/ni_a_ref.1102_1_1.jpg","/n/i/ni_a_ref.1102_1_1.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
