sku,_store,_attribute_set,_type,_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,_media_image,_media_position,_media_is_disabled,_media_attribute_id
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1018a2.jpg,3,0,80
1022,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre de T y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1022.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Valdevaqueros.  Ref.1022",,,"Bloque después de la columna de Información",,24.0000,0,"Cordones de Cuero con cierre de T y piezas de metal en Zamak bañado en plata.",/ref1022.jpg,,,,,1,2,/ref1022.jpg,,"2011-10-02 12:18:27",valdevaqueros,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1022.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1022a1.jpg,2,0,80
1025,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre visagra y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1025.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Cala Chica.  Ref.1025",,,"Bloque después de la columna de Información",,24.0000,0,"Cordones de Cuero con cierre visagra y piezas de metal en Zamak bañado en plata.",/ref1025.jpg,,,,,1,2,/ref1025.jpg,,"2011-10-02 12:18:27",calachica,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1025.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1025a1.jpg,2,0,80
1028,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Base rígida de Cuero e hilo de algodón con cierre delfín y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1028.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Lobo de mar 1028",,,"Bloque después de la columna de Información",,20.0000,0,"Base rígida de Cuero e hilo de algodón con cierre delfín y piezas de metal en Zamak bañado en plata.",/ref1028.jpg,,,,,1,2,/ref1028.jpg,,"2011-10-02 12:18:27",lobodemar1028,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1028.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1028a1.jpg,2,0,80
1029,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Pulsera de metal en Zamak bañada en plata.",1,,,0,/ref1029.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Eslabones.  Ref.1029",,,"Bloque después de la columna de Información",,26.0000,0,"Pulsera de metal en Zamak bañada en plata.",/ref1029.jpg,,,,,1,2,/ref1029.jpg,,"2011-10-02 12:18:27",eslabones,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1029.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1029a1.jpg,2,0,80
1032,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Base de Cuero forrada con cordones de Algodón, cierre bola de imán y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1032.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Buda cuero.  Ref.1032",,,"Bloque después de la columna de Información",,28.0000,0,"Base de Cuero forrada con cordones de Algodón, cierre bola de imán y piezas de metal en Zamak bañado en plata.",/ref1032.jpg,,,,,1,2,/ref1032.jpg,,"2011-10-02 12:18:27",budacuero,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1032.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1032a1.jpg,2,0,80
