"sku","_store","_attribute_set","_type","_category","_product_websites","name","description","short_description","weight","news_from_date","news_to_date","status","url_key","visibility","gift_message_available","price","special_price","special_from_date","special_to_date","cost","tax_class_id","enable_googlecheckout","meta_title","meta_keyword","meta_description","allow_open_amount","open_amount_max","giftcard_type","is_redeemable","use_config_is_redeemable","lifetime","use_config_lifetime","allow_message","use_config_allow_message","email_template","use_config_email_template","activation_information","color","computer_manufacturers","contrast_ratio","country_orgin","cpu_speed","created_at","custom_design","custom_design_from","custom_design_to","custom_layout_update","designeditor_theme_id","dimension","finish","gallery","gender","harddrive_speed","hardrive","has_options","image","image_label","in_depth","is_imported","manufacturer","max_resolution","megapixels","memory","minimal_price","model","open_amount_min","options_container","page_layout","processor","ram_size","required_options","response_time","room","screensize","shape","shirt_size","shoe_size","shoe_type","small_image","small_image_label","thumbnail","thumbnail_label","updated_at","url_path","_additional_image","_additional_image_label","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","use_config_qty_increments","qty_increments","use_config_enable_qty_increments","enable_qty_increments","_giftcard_amounts_website","_giftcard_amounts_amount","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_custom_option_store","_custom_option_type","_custom_option_title","_custom_option_is_required","_custom_option_price","_custom_option_sku","_custom_option_max_characters","_custom_option_sort_order","_custom_option_row_title","_custom_option_row_price","_custom_option_row_sku","_custom_option_row_sort"
"1081","","pulseras","simple","Pulseras","base","Duna XL.  Ref.1081","Cordones de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.","Cordones de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.","1.0000","","","1","dunaxl","4","2","30.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-14 13:14:52","","","","","0","","","","","","","0","/r/e/ref.1081_...jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/r/e/ref.1081_...jpg","","/r/e/ref.1081_...jpg","","2011-05-17 11:49:21","dunaxl.html","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1081-2","","pulseras","simple","Pulseras","base","Taj.  Ref.1081-2","Cordones de Cuero con cierre en T y piezas de metal en Zamak bañado en plata.","Cordones de Cuero con cierre en T y piezas de metal en Zamak bañado en plata.","1.0000","","","1","taj","4","2","20.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-14 13:19:00","","","","","0","","","","","","","0","/r/e/ref.1081.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/r/e/ref.1081.jpg","","/r/e/ref.1081.jpg","","2011-05-17 11:49:03","taj.html","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1083","","pulseras","simple","Pulseras","base","Doble Locura.  Ref.1083","Cordones de Cuero con cierre en T y piezas de metal en Zamak bañado en plata.","Cordones de Cuero con cierre en T y piezas de metal en Zamak bañado en plata.","1.0000","","","1","doblelocura","4","2","26.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-14 13:24:00","","","","","0","","","","","","","0","/r/e/ref.1083.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/r/e/ref.1083.jpg","","/r/e/ref.1083.jpg","","2011-05-17 11:44:37","doblelocura.html","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1124","","pulseras","simple","Pulseras","base","Pulsera.  Ref.1124","Base de Cuero con cierre en T y pieza de metal en Zamak bañado en plata.","Base de Cuero con cierre en T y pieza de metal en Zamak bañado en plata.","1.0000","","","1","pulsera","4","2","18.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-14 13:25:07","","","","","0","","","","","","","0","/r/e/ref.1124.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/r/e/ref.1124.jpg","","/r/e/ref.1124.jpg","","2011-05-17 11:43:42","pulsera-245.html","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1044","","pulseras","simple","Pulseras","base","Sancti Petri.  Ref.1044","Cordones de Cuero con cierre visagra y piezas de metal en Zamak bañado en plata.","Cordones de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.","1.0000","","","1","sanctipetri","4","2","24.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-14 13:26:15","","","","","0","","","","","","","0","/s/a/sancti_petri_ref.1044.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/s/a/sancti_petri_ref.1044.jpg","","/s/a/sancti_petri_ref.1044.jpg","","2011-05-17 16:20:29","sanctipetri.html","/a/p/aparejos_web_blanco_077_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1041","","pulseras","simple","Pulseras","base","Tavira Doble.  Ref.1041","Cordón de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.","Cordón de Cuero con cierre imán plano y piezas de metal en Zamak bañado en plata.","1.0000","","","1","taviradoble","4","2","25.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-14 13:27:49","","","","","0","","","","","","","0","/t/a/tavira_cierre_2_cm_ref.1041.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/t/a/tavira_cierre_2_cm_ref.1041.jpg","","/t/a/tavira_cierre_2_cm_ref.1041.jpg","","2011-05-16 21:31:21","taviradoble.html","/a/p/aparejos_web_blanco_178_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1057","","pulseras","simple","Pulseras","base","Tavira.  Ref.1057","Cordón de Cuero con cierre imán y piezas de metal en Zamak bañado en plata.","Cordón de Cuero con cierre imán y piezas de metal en Zamak bañado en plata.","1.0000","","","1","tavira","4","2","26.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-14 18:39:00","","","","","0","","","","","","","0","/t/a/tavira-hombre_ref.1057_1.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/t/a/tavira-hombre_ref.1057_1.jpg","","/t/a/tavira-hombre_ref.1057_1.jpg","","2011-05-16 21:32:01","tavira.html","/t/a/tavira-hombre_ref.1057_2.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/a/p/aparejos_web_blanco_035_1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1002","","pulseras","simple","Pulseras","base","Trafalgar.  Ref.1002","Cordón de Algodón con piezas de metal en Zamak bañado en plata.","Cordón de Algodón con piezas de metal en Zamak bañado en plata.","1.0000","2011-03-19 00:00:00","2011-03-23 00:00:00","1","trafalgar","4","2","22.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-14 18:41:05","","","","","0","","","","","","","0","/m/o/mod.trafalgar_22e_ref.1002.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/m/o/mod.trafalgar_22e_ref.1002.jpg","","/m/o/mod.trafalgar_22e_ref.1002.jpg","","2011-05-17 11:43:23","trafalgar.html","/a/p/aparejos_web_blanco_191_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1043","","pulseras","simple","Pulseras","base","Trenzada.  Ref.1043","Trenza de Cuero con cierre imán plano en Zamak bañado en plata.","Trenza de Cuero con cierre imán plano en Zamak bañado en plata.","1.0000","","","1","trenzada","4","2","19.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-14 18:45:04","","","","","0","","","","","","","0","/t/r/trenzada_ref.1043_1.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/t/r/trenzada_ref.1043_1.jpg","","/t/r/trenzada_ref.1043_1.jpg","","2011-05-17 11:19:50","trenzada.html","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
